criterio,mínimo,observado,cumple,por qué se pide
Filas,2000,5110,sí,Permite agrupar por categoría sin grupos vacíos
Columnas,12,12,sí,Asegura variedad de roles analíticos
Numéricas continuas,2,3,sí,Escalamiento y valores atípicos
Numérica discreta,1,0,NO,Obliga a decidir número frente a categoría
Categóricas nominales,2,3,sí,Codificación One-Hot
Binaria u ordinal,1,4,sí,Codificación con orden declarado
Fecha,1,0,NO,Parseo y derivación de variables temporales
Texto o alta cardinalidad,1,0,NO,Normalización y agrupación
Alguna variable con ≥1% de nulos,1,3.9,sí,Un conjunto perfecto no tiene preprocesamiento que justificar
Ninguna variable sobre 60% de nulos,60,3.9,sí,Por encima de eso la variable no es recuperable
